date,close,avg_block_size,blocks_size,cost_per_transaction_percent,cost_per_transaction,difficulty,est_transaction_volume_USD,est_transaction_volume,hash_rate,median_confirmation_time,miners_revenue,n_transactions_excl_chains_longer_than_100,n_transactions_excl_popular,n_transactions_per_block,n_transactions,n_unique_addresses,output_volume,total_bitcoins,trade_volume,transaction_fees_USD,transaction_fees,mempool_count_mean,mempool_count_stddev,mempool_count_min,mempool_count_max,mempool_growth_mean,mempool_growth_stddev,mempool_growth_min,mempool_growth_max,mempool_size_mean,mempool_size_stddev,mempool_size_min,mempool_size_max,wallets_created,transactions_per_sec_mean,transactions_per_sec_stddev,transactions_per_sec_min,transactions_per_sec_max,utxo_count_mean,utxo_count_stddev,utxo_count_min,utxo_count_max,news_stories_total,news_stories_positive,news_stories_negative,news_stories_neutral
2016-04-24,458.55,0.7280398029999999,66022.67805,1.3859670519999998,8.360697878,178678000000.0,110486293.2,240501.2912,1172443.384,8.783333333,1531303.62,115683,213799,1387.537879,183155,376201,2223869.595,15469775.0,29353633.46,15283.6199,33.26865456,2202.066667,1588.794333,88.0,7506.0,1069.636786,428.1181039,5.583333333,3213.35,2219899.211,996100.984,438969.0,5165259.0,6942443,2.151031746,0.520372531,0.7666666670000001,4.266666667,36783070.63,27228.758660000003,36724621,36825214,6,2,0,4
2016-04-25,461.43,0.8744850940000001,66133.73765,0.888459742,6.861612805,178678000000.0,168025613.1,362233.4608,1128032.65,9.683333333,1492839.928,130742,246337,1713.102362,217564,407004,2719385.889,15472950.0,36817995.51,20084.42841,43.29847026,2480.348611,1464.387281,78.0,6794.0,1191.776065,481.434657,410.1833333,5138.366667,4165498.64,1577876.8569999998,635561.0,8371544.0,6955905,2.47787037,0.6714090770000001,0.7,8.016666667,36870963.17,17998.12914,36825828,36893715,25,7,8,10
2016-04-26,466.09,0.813179689,66256.52779,1.129962172,7.675905918,178678000000.0,170332016.5,363972.8546,1341204.175,7.75,1924687.3530000001,144537,235851,1660.556291,250744,436154,2770136.7339999997,15476725.0,34854624.6,158063.2392,337.7563982,2618.503472,1775.652641,401.0,8624.0,1250.323345,517.5839354,43.41666667,4130.333333,4377631.9860000005,1617806.93,1807557.0,9632225.0,6968497,2.7565625,0.904974898,0.083333333,9.5,36931936.13,16768.837069999998,36895435,36980350,32,14,14,4
2016-04-27,444.69,0.875343318,66369.44708,0.873766811,6.1110568,178678000000.0,167458968.2,374368.9346,1145796.9440000001,10.36666667,1463200.885,137027,243750,1856.0852710000001,239435,392821,2485051.224,15479950.0,42654741.36,20626.13494,46.11149971,3510.3916670000003,1759.7357579999998,439.0,9005.0,1226.353958,581.0772254,128.0833333,5341.916667,5827577.172,1919135.85,2821061.0,11592705.0,6982399,2.70087963,0.9773616970000001,0.433333333,13.3,37022472.54,16423.157030000002,36983148,37044068,18,8,4,6
2016-04-28,449.01,0.8982190290000001,66491.60486,0.9040817659999999,6.261127598,178666000000.0,171720826.0,381601.8356,1207843.183,10.0,1552496.677,139845,257795,1836.725926,247958,374956,2696032.682,15483325.0,38051508.65,22329.15526,49.62034503,4062.283333,2655.128851,556.0,13108.0,1284.658819,768.5160517999999,168.6,8741.483333,6469173.658,2009515.051,3268831.0,12091996.0,6997552,2.7856365739999998,0.8032474409999999,0.6,11.25,37077491.25,18568.4467,37046272,37106607,24,12,7,5
2016-04-29,455.1,0.812847462,66620.03476000001,0.911930844,6.967219527999999,178659000000.0,200081325.4,438620.9343,1403229.58,7.433333332999999,1824603.3190000001,145678,214169,1657.4936710000002,261884,426515,2522444.202,15487275.0,21063414.66,22771.31899,49.919587400000005,2853.974306,1668.903939,524.0,8865.0,1259.532222,674.7193716,70.31666667,8788.466667,4881294.476,1315635.113,2325946.0,9008242.0,7012014,2.826354167,0.750258815,0.066666667,7.95,37184259.71,34366.94957,37110402,37236616,20,9,8,3
2016-04-30,448.32,0.757548507,66730.63683999999,1.356673115,7.6511759470000005,178659000000.0,121654247.3,272053.6872,1296655.182,7.316666667000001,1650450.466,119940,189192,1477.479452,215712,371890,1899766.45,15490925.0,17046473.34,18279.96585,40.87923127,2192.582639,1387.967174,358.0,8530.0,1127.520787,637.3850485,100.1333333,8930.85,3588093.4869999997,1359388.845,1587689.0,8023444.0,7025904,2.423715278,0.638944615,0.26666666699999997,6.4,37296884.67,19882.06571,37237949,37321901,5,0,3,2
2016-05-01,451.88,0.6257176,66827.62307,2.070524325,9.228983547,178659000000.0,85326421.84,188817.0433,1376585.981,7.55,1766704.32,113989,222310,1235.032258,191430,370083,1879509.5990000002,15494800.0,10517715.54,15591.82031,34.50281105,1547.2625,1195.17829,175.0,6698.0,995.3190394,665.3912649,11.81666667,11385.75,1895418.729,807832.8649,923013.0,4629917.0,7039303,2.156226852,0.583762045,0.05,6.683333332999999,37376223.17,31890.75295,37325339,37439843,8,4,3,1
2016-05-02,444.67,0.7510854709999999,66945.54349,1.230188771,7.875154352999999,178659000000.0,143257803.9,322725.3975,1394348.38,8.25,1762341.417,133116,233246,1425.382166,223785,391943,2450687.7830000003,15498725.0,34283316.48,20033.91699,45.13159943,2669.774306,2505.0383260000003,152.0,12160.0,1152.878426,700.1660321,67.9,10290.71667,2771391.582,1826289.2019999998,484777.0,7365336.0,7055278,2.468460648,0.7288947840000001,0.85,9.1,37477894.46,12691.85214,37442798,37495670,255,127,70,58
2016-05-03,450.3,0.778229669,67063.05617000001,1.186876834,7.311298807999999,178659000000.0,145137873.8,321842.0121,1341061.1809999999,7.341666667,1722607.801,140418,233140,1560.3245029999998,235609,374677,2273860.039,15502500.0,23866897.41,20233.800880000003,44.86828296,2156.495833,1914.253828,86.0,10758.0,1244.8831599999999,806.3330933,35.76666667,11411.16667,1998091.2319999998,1221961.79,322260.0,6502807.0,7071613,2.647199074,0.9182457740000001,0.11666666699999999,10.88333333,37500583.67,7612.568958,37481263,37511333,75,38,21,16
